Date,Open,Close,High,Low,Volume,Ticker
2020-06-01,0.05946778680689295,0.05980994130029614,0.05846570180576569,0.0606730311632298,0.6648833165687043,AAPL
2020-06-02,0.06010052003905547,0.06012163794085604,0.05868842203350041,0.061043458059410506,0.6741297798508028,AAPL
2020-06-03,0.060925201656559846,0.06049402016178579,0.05925240646754638,0.061769259303789244,0.6941028606377979,AAPL
2020-06-04,0.06086824619128299,0.05990825325403602,0.05913387572174563,0.06144188908175751,0.6740229336943906,AAPL
2020-06-05,0.06064889987814308,0.06182870886771262,0.06038647961069992,0.06196955267815674,0.7250795804081491,AAPL
2020-06-08,0.06210419715978631,0.0622387305974194,0.06076450041070699,0.06285040504382274,0.6840658331166729,AAPL
2020-06-09,0.0625028307719037,0.06444160402943848,0.06321860866901938,0.06386049111543567,0.733423987488043,AAPL
2020-06-10,0.06582680926074944,0.06629300024077858,0.06509033305502235,0.06689286811665367,0.7471274017174263,AAPL
2020-06-11,0.06612420994221763,0.0627491725136906,0.06433224904435272,0.06460781423704984,0.7687880137441132,AAPL
2020-06-12,0.06515614435177447,0.06335587726020867,0.06366613025389961,0.06433647484140652,0.7679306393223446,AAPL
2020-06-15,0.06273694056122482,0.06423240296975002,0.06323291232060418,0.06398324506635991,0.7263620734687675,AAPL
2020-06-16,0.06657768451676814,0.06613402897748286,0.06476954780777539,0.06659783574912864,0.7462908595331674,AAPL
2020-06-17,0.06735595429014167,0.0660315202612044,0.06521908652303315,0.06796973441115191,0.7044003524970539,AAPL
2020-06-18,0.06656713271656575,0.06606080565112532,0.06482062405861039,0.06756698905474755,0.6854421032358413,AAPL
2020-06-19,0.06724838923031555,0.06564031500203438,0.06545611704853058,0.06669043662247877,0.7995888222064691,AAPL
2020-06-22,0.06655238555886214,0.06755450502656889,0.06604871426204384,0.06798266902723826,0.7235756517527987,AAPL
2020-06-23,0.06922254177035336,0.06915695900432249,0.0686887601992239,0.07037756029557682,0.7745499092378587,AAPL
2020-06-24,0.06943345819722616,0.0678034406924519,0.06795518705938741,0.0695699277916083,0.7635788395652399,AAPL
2020-06-25,0.06852654313142292,0.06880342609244701,0.0671807530654766,0.06936534314506104,0.7253044698168618,AAPL
2020-06-26,0.06930901977482855,0.06645828963484443,0.06724613108822017,0.06838539636630808,0.7707948096962451,AAPL
2020-06-29,0.06695522769987962,0.06816327203198698,0.0666024728390611,0.06801066378072977,0.7194777727531103,AAPL
2020-06-30,0.06839576704905759,0.0687950522704804,0.06738100342006043,0.06988868505661361,0.7275136575462833,AAPL
2020-07-01,0.06945877160699501,0.06865070071518285,0.0676629824482346,0.07073077660713274,0.7006976064443586,AAPL
2020-07-02,0.07003456891661043,0.06865070071518285,0.06829847948237155,0.07067262924472953,0.7040375740027911,AAPL
2020-07-06,0.07048802898492496,0.0706883044562466,0.06938351471430815,0.07201437254240144,0.7085428049012514,AAPL
2020-07-07,0.07162907610614487,0.07044563437950567,0.06996383830777966,0.07252264977630524,0.7024152342835972,AAPL
2020-07-08,0.07190537465607624,0.07226148617948629,0.07055233695723936,0.0734121215918317,0.7070359950687579,AAPL
2020-07-09,0.07366229811502024,0.07260458957819864,0.07132270509021726,0.07391394930972907,0.7150422265165117,AAPL
2020-07-10,0.0728797906715359,0.0727447312355506,0.07104683457087249,0.07394192963474684,0.6774686616809777,AAPL
2020-07-13,0.07450803973569733,0.07237444411203837,0.07429581417448222,0.07441788753121599,0.7630030094277007,AAPL
2020-07-14,0.07246218120172558,0.07369659507197754,0.07208895996213235,0.07322906000870993,0.7500461199423882,AAPL
2020-07-15,0.07596335123320691,0.07425515198411341,0.07371753861266939,0.07547966370561077,0.7375659746823731,AAPL
2020-07-16,0.07391539021299885,0.07324891413038322,0.07221157338468726,0.07497571155866913,0.7005337753998759,AAPL
2020-07-17,0.07427394724767071,0.07308573953684543,0.07200110536258969,0.07491971419614492,0.6798715168445013,AAPL
2020-07-20,0.07379306841006092,0.07478444320943889,0.07310658396249553,0.07511140086199958,0.6775451542391595,AAPL
2020-07-21,0.07611731260716455,0.07364846694070586,0.07371957614909588,0.07569718079289298,0.6929468611170901,AAPL
2020-07-22,0.07402504808263069,0.07387649760633806,0.07267745094433503,0.07557657861269014,0.6758773633067436,AAPL
2020-07-23,0.07428235671648103,0.07017157068001931,0.07194386895957502,0.07162023847630854,0.7661335128577833,AAPL
2020-07-24,0.06921199148222809,0.06997910412885709,0.06858658369328202,0.06915210102859341,0.7592611296629426,AAPL
2020-07-27,0.0715088524163388,0.0718158871999025,0.07016817595163002,0.07288662328442098,0.7109659722040962,AAPL
2020-07-28,0.07206355747180489,0.07051257898131412,0.0698780187322505,0.07268632523471431,0.6931579596402146,AAPL
2020-07-29,0.0715426061682142,0.07200836031876823,0.07043382682238986,0.07308692210337361,0.6775592393569467,AAPL
2020-07-30,0.07191170620134951,0.07297067993917229,0.07130635212139236,0.07313430430008343,0.7411652487483358,AAPL
2020-07-31,0.07924939582495688,0.08139722742951716,0.07957593791377393,0.07921416984596781,0.8390509308698153,AAPL
2020-08-03,0.0837334160651639,0.08363774693801677,0.08384456779004912,0.08530266060542839,0.8169500688211615,AAPL
